	clean_tweet	class
61	 fuck fag said 	1
62	 femal think date pussi cute stuff make pussi 	1
63	 simplyaddictedtoguy woof woof hot scalli lad	2
64	 ya ever ask bitch bitch kany voic ye	1
65	 u gone bring ur side bitch game know ya gf friend # # # # swear 	1
66	 woof woof hot sole	2
67	 lemmi eat oreo amp dish one oreo lo	2
68	 bitch fuck u mayb get better 	1
69	 fuck red malon man bitch ass niggah could pleas use complet sentenc 	1
70	 eggplant emoji doe say look like scream lmao	2
71	 hennessey venom gt # one sexi bitch	1
72	 seh pussi wetter shower curtain #ahmesehwetness lt lmao 	1
73	 #eaglesnation everi #eagles need see pic post bitch said racist shit 	1
74	 yo fuck skateboard wood push faggot man ball life 	1
75	 babi monkey bathtim awwww soooo ador 	2
76	 # # # # shit damn skippi lo	1
77	 u ever kill ant sidewalk think damn nigga way get pussi bs must b gt  chanc	1
78	 kudabrazyy  ring  mvp  bitch lo	1
79	 ppl talk bad ghetto hood kid grow nigga funnnnnnn 	1
80	 fact tattoo tattoo pussi tattoo nippl	1
81	 # # # bitch want act like nigga bad # # # shit aint cuteeee nigga act like bitch 	1
82	 get worship bitch woof woof	1
83	 wow lost buttcheek pierc yeah hoe	1
84	 ok si rather broke bitch shrug tell work	1
85	 queer gaywad	0
86	 faggot read tweet dat k even funni lo	1
87	 bitch ungrat fr lulwhor	1
88	 kidnap yo bitch 	1
89	 alsarabsss he beaner smh tell he mexica	0
90	 happi birthday nig thank yo	1
91	 ur teacher tell u u homework bitch need go 	1
92	 edham nigga eat hoe lol hell yea lol john paul nigga said john paul 	1
93	 would lil ugli bald head bitch stop make make amp weav 	1
94	 leaf better win damn game go riot shit #earlychristmas better start loot nig	1
95	 go back school suck dick hoe attend 	1
96	 way fuck yo bitch  year old	1
97	 come never bring food dont car retard	1
98	 richnow show hella tinder hoe im friend anymor chill brought like like  propl	1
99	 bout cowboy shutup pussi	1
100	 lmaooooooooooo nigga lt bitch want like depress shit foh	1
101	 girl know spit g shit amp go lbv bitch plz	1
102	 let make coupl tweet cuzzo page get twitter jail lmao bitch trick aga	1
103	 harlem shake excus go full retard  second 	1
104	 amen miley # need act like hoe bc emot damag foh	1
105	 one loyal femal wayyyyy better hoe idc # 	1
106	 pussi lick pussi meow meow #stopwhitepeople # # 	1
107	 check th man #cowboysnation even faggot ny fan stand	1
108	 happen vixen ent bitch got ran threw side like foothil bitch	1
109	 im bitch okay nude pat # # # wow	1
110	 fuck gay blacklist hoe hold #tehgodclan anyway 	0
111	 fuck wrong bitch nobodi know	1
112	 yall shut p make bitch	1
113	 hate pregnant type bitch 	1
114	 got bitch dm ever read em top 	1
115	 basebal season win #yankees love start	2
116	 littl stupid bitch fuck yoooooouuuu 	1
117	 realli ask dead ass seriou tho could say bitch wheet lol	1
118	 earli bird night owl wise worm 	2
119	 overdos heavi drug sound bad tonight pussi shit everi day 	2
120	 pit bull photograph love fairi tale creatur fairi tale creatur 	2
121	 stname bravo aw fag tweet aw lo	1
122	 long laker trash could careless real cc hahaha	2
123	 say anyth tho kiss faggot	1
124	 play soccer cheat girl wear khaki colour cargo haircut # yup	2
125	 could go fat ass bitch lap	1
126	  miss call # # da yo p bitch twitter finna screamn #freemoneymelle	1
127	 ya side bitch gotta know rule shit anybodi ask cousin jersey thinkin bout move lmmfao # # # # 	1
128	 #  amo lo pie fuck yeah	1
129	 hoe think meat slap ass # # ainna bruh	1
130	 yall bitch wit edg talk # # # # # # 	1
131	 yall still go trick treat year nah hell yeah ima da sweet tooth bandit steal bitch bag n shit	1
132	 wanna sex mom fuck right pussi came damn got hack like fuc	1
133	 kiss u eye open watch bitch lmfao	1
134	 woulda coulda shoulda ass hoe # # 	1
135	 happi bday bitch ass nigga preciat bitch roll 	1
136	 jaye use send bitch 	1
137	 ugli bitch like wcw duh bitch nobodi els # # 	1
138	 stname bravo nigga know hacki sack hoe nah throw look pass lmao	1
139	 glad get outta atlanta noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin em 	1
140	 ghetto smart idc	2
141	 would wife hoe cuz care cheat forc relationship first place 	1
142	 singl excus hoe 	1
143	 white boy power bitch black power bitch	1
144	 let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill 	1
145	 bitch u around world back 	1
146	 get dick suck yo parti bad bitch fr gone set # # # # 	1
147	 #oomf soooo cute probabl hoe lot 	1
148	 everi cartoon alway nuffsaid save hoe lmao lmao damn captain saveaho	1
149	 want get nose bad boi #scally #chav #sockfetish #stinking hot sox leg	2
150	 wish bitch like brother keezi # ooooow bet	1
151	 dress cat halloween basic pussi	1
152	 pornhub get game stream featur dumb bitch gtfo get kati lt 	1
153	 stop scare choke sex u bitch ass nigga # like say guy hit women bed foh	1
154	 ha well iguess make hoe loyal bro theyll never loyal hoe nig	1
155	 takehov oh man  molli ho fuck ya seed #fixed	1
156	 man refer everi girl bitch 	1
157	 lmfao cat start beat shit nigga final got pussi nigga 	1
158	 peel peel bring back rewind back move shaq line ooooow tf said trash 	2
159	 stanley io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha	1
160	 naw old tape new cover upcom mixtap #kingofthehill yeah wait hoe mayn 	1
161	 ol dirti foot ass bitch funni 	1
162	 get yellow flag amaz # # hell yeah niggi	1
163	 got time bitch actin iffi 	1
164	 #ucfpinkparty come stay aliv knight nation still earli bird special #comeatmeut	2
165	 hoe loyal smfh amp wonder nobodi decent want	1
166	 bruh stud keep think soft hell ask ya girl mani time scream bitch oh okay stfu bye hoe 	1
167	 dri pussi bitch alway blame condom # # # # # 	1
168	 shut yo bitch ass # # 	1
169	 gucci mane jail drop mixtap everi month hoe even text back 	1
170	 love hoe money wat wrong nigga 	1
171	 loyal bitch burb without daddi issu like find holograph mewtwo sound like lo	1
172	 easi cum easi hoe fact 	1
173	 charli sheen real major fuck respect charli sheen 	1
174	 wish bae # got hoe tho	1
175	 fuck twerk bitch cook 	1
176	 bitch wtf 	1
177	 # shut zoe fight pussi # zoe good man good move along	1
178	 lmao fuck snake bitch em	1
179	 big booti hoe everywher sheesh # damn # # # 	1
180	 stay tune updat report b   week #bum	2
181	 # play soccer cheat girl wear khaki colour cargo haircut ye lmfao 	2
182	 oregon choke everi year get field trash ass program rft	1
183	 def cowboy lol terrel owen best eagl amp cowboy ever dude cri like bitch tv romo	1
184	 lmfaoooo hate black peopl black peopl nigger	0
185	 tolif could u bitch potent	1
186	 piss lad past would lick dirti sole slept 	2
187	 love frat boy w soft long sole	2
188	 sexi lad hot sole arch 	2
189	 nah fam gotta cheat hoe depend femal fee	1
190	 vontethekidd # # # # # got hick lo	2
191	 new twitter confus shit go back south america bitch	1
192	 toto mean ass vagina think pussi caus toto santi like nasti pussi	1
193	 actual choos ugli bitch # ass must fat 	1
194	 bitch kill vibe ya tri # # # di love miley 	1
195	 tire bitch say look mean # nigga big af wear tight shirt grim everybodi 	1
196	  bird grandkid may never see thank climat chang #climate	2
197	 stay beauti bitch 	1
198	 #wutkinda r purpl ceeelee man gurl ju playin stupid hoe track still shit sum gurl	1
199	 money get taller bitch get blurri 	1
200	 never seen bitch obsess nigga # obsess mine # 	1
201	 kobe stay talk trash let forget meant one smh 	1
202	 least nigger lmfao	0
203	 peopl alway ask mix bad asian bitch lo	1
204	 whiteponyjr ariza snake coward least crippl like hero roach lmaoo	0
205	 # foster home imaginari trash # whoa chill show everyth tf	2
206	 lowkey tire tire quiet go sleep hoe 	1
207	 # stop bring weird nigger mention # 	1
208	 love hoe # # 	1
209	 yo girl cant homeboy ol weak bitch ass nigga 	1
210	 think worst advic gave pussi speed lol 	1
211	 quot tweet favorit anim pussi	1
212	 hate stripper tell dancer hoe ballet dancer pop pussi beethoven stripper 	1
213	 andrewbry poff doubl vision  beer poff doubl pussi # smh	1
214	 bitch twerk comput ya # ya damn # # # 	1
215	 # # princ art nobodi takin bitch 	1
216	  welfar govern aid claim white peopl black slander trash 	2
217	 bitch care play role 	1
218	 took find hide lime tree di bitch da wrong tree bro 	1
219	 drake new shoe releas nike jordan ye glitter shoe dude fag	0
220	 inna di ghetto alon lmaoo	2
221	 # tolif hoe austin # teach us austin teach u get curv know	2
222	 bitch cook know suck dick one 	1
223	 fat hoe get chose lo	1
224	 #hoesaintloyal well hoe one expect loya	1
225	 nevertrustt ol bitch ass 	1
226	 bruh im tire nigga retweetin miley cyru nake bitch aint type bad lmaooo	1
227	 toni romo mav game dont mean still bitch lmao fuk cowgirl lol bitch fuck	1
228	 holi shit freddi highmor charli chocol factori roll floor laugh 	1
229	 want sex gf feel like use anonym whata faggot	1
230	 one follow # # somebodi bitch	1
231	 ya bitch alway bitch clearli care annoy bitch 	1
232	 catfish hoe thinkin slick nigga catch # 	1
233	 worri bitch worri bout #rea	1
234	 side hoe insecur nigga handl real one 	1
235	 # # # # lmao bitch come scoot tent like fuck shit # # # 	1
236	 cousin said share hoe brother said share care love brother # 	1
237	 hungri ionn wanna spend money food # broke hoe problem # # # # 	1
238	 dese hoe lyin us nigga 	1
239	 oh yeah fuck bitch	1
240	 eli man threw nfl lead th intercept season lmao trash	2
241	 usc senior rb anthoni brown call head coach steve sarkisian racist quit team # bitch	2
242	 guess also zero time mansplain adio stfu pussi	1
243	 chill # # sexi scalli lad	2
244	 share bitch mine mine # 	1
245	 money impress simpl broke bitch 	1
246	 #pisces never anybodi bitch let peopl control chang rigghhht	1
247	 stanley tuku ho idk blah blah blah # # # 	2
248	 stanley mad cuh hahaha suur tuku ho ita # # 	2
249	 hoe crazi 	1
250	 ever gonna slice bitch kevin hart 	1
251	 oomf fuckin fine tho # dam bitch 	1
252	 wonder girl gave head  boy drink magaluf twitter probli send nude fag	1
253	 #newsatquestions yeah bitch yeah bitch call mayb b steve c later jess pinkman 	1
254	 hicki thigh right pussi gt gt gt right	1
255	 would still love longer young beauti ugli monkey ass 	1
256	 come front bitch come	1
257	 faggot bitch 	1
258	 yea ipad work friday let ball faggot work  	1
259	 scalli lad would get	2
260	 #gerryshalloweenparty halloween yesterday stupid nigger	0
261	 chru still supahot tho walk teacher test drop test bitch fohead 	1
262	 # love eat pussi lol never get full lol # eat shit forev lol ever 	1
263	 # # slush # # hoe nasti anyway fam # # hoe tast like med # # # 	1
264	 # slush # # hoe nasti anyway fam # 	1
265	 bobbi bitch get live fuck hell yea play hoe workout	1
266	 yo bitch gucci mane bitch stoner # # 	1
267	 ride bitch handl bar 	1
268	 hoe get traphoussseeee 	1
269	  sad tv charact death still bitter stark	2
270	 harbor bitch parti bu hoe lol 	1
271	 pussi love	1
272	 ultraviol video come littl bitch #mtvhottest lana del rey bitchi promo	1
273	 way fuck bitch lmfao kittycopt	1
274	 smuggler explain help fighter along jihadi highway 	2
275	 aww avi look cute togeth # # # # gotta get ike avi bitch 	1
276	 simpl dont hoe dont worri expos # fight 	1
277	 whi bitch boost size exactli healthi tho	1
278	 nonlykeisha bet bitch # # # # # # # kim bye 	1
279	 damn near gotta protect tweet stalker annoy got dope dick drive bitch loco	1
280	 make marack girlfriend aye b pullin hoe like taught	1
281	 bruno fag boy love 	1
282	 # must bitch # # # # sike naw alway beef # 	1
283	   #yankees look ralli bottom th #rallycap	2
284	 # take advantag nice person # hoe everyjua	1
285	 happi birthday bitch nigga thank pa	1
286	 sad know hoe fuck bc got stack wait till friday	1
287	 cinco shit harder fucc nigga yee fucc wit rich homi cuz dat ya homeboy fucc nicca	1
288	 ewww said last sunday last sunday read nig # # # # # 	1
289	 bada bing punch real nigga face caus pussi nigga gonna punch right back strong mush shake 	1
290	 beedontcar pussi still fresh lt someth stank girl say 	1
291	 geewillik ass slap one greatest thing haha # slap girl ass got mad aint get pussi wee	1
292	 tommycollin yeah texan much better fuck retard see mad 	1
293	 malibubarbi nd wtf dark bitch blond pleas sever seat hoe look like black amp mild	1
294	 sugga lane bitch need stay # left n get right fuck outta face # # # 	1
295	 sneakyb hate boy deni bitch # # smh	1
296	 taradis ya nig still say eat butt straight face 	1
297	 yourewelcom im boss ass bitch need sit corner	1
298	 iwantfranni hoe 	1
299	 prettyflvck paul thinkin bout gettin rental da weekend # # # oooh shit bitch betta stay da street	1
300	 rapdream bitch hold nigga get lock nigga go colleg militari differ stori # 	1
301	 simplycaitlin friend hate ratchet hoe 	1
302	 love fuck nigga hoe 	1
303	 hot meat sexi fuck scalli lad would love meet trainer 	1
304	 sniff perv scalli lad fuck yeah 	1
305	 bitch love sosa 	1
306	 # legit watch   second # # wtf prob caus retard smh	1
307	 name cat idea mr pussi	1
308	 woof woof sexi thug boy scalli 	1
309	 nonlykeisha u see damn phone ring # # # marri bitch make demand call	1
310	 tevin favorit sophomor think funni he realli lmaoo he littl hoe	1
311	  sex posit u call fuck soul outta bitch # 	1
312	 bore suppos cute faggot sometim	0
313	 one man trash # anoth man treasur # 	2
314	 got type bad bitch thing like iongotnotyp	1
315	 lassen cc coach want feel youll get nig doubt	0
316	 god teeth gold chain white bitch cocain 	1
317	 hoe hoe # shhhhh	1
318	 c call roller chiraq call thot across america known hoe 	1
319	 gonna miss bitch bu driver lie	1
320	 hate bitch tri put friendzon bitch tryin score put endzon # # # soul 	1
321	 ashley young tri deni bird land mouth gt hahaha	2
322	 yall gimp tht bitch huh lo	1
323	 take ride # # woof woof	2
324	 oh god love victoria mitchel bitch love	1
325	 long distanc shit wack knew bitch cheat uh oh	1
326	 right # # # bitch smh	1
327	 ban dat pussi life amp gotta pay   millon dollar fine 	1
328	 rose red violet blue nigger black know true 	1
329	 sit window sill window open bird tri fli smack #protecttheanimals 	2
330	 nigga gon nigga nigga sound fuckin retard	1
331	 video entir media like mock crybabi	2
332	 even shi stfu kiki mom hi angeliqu angeliqu smile dip cracker soup 	1
333	 tim tebow got cut everi team nfl alreadi got hoe starkvil smh # # # # 	1
334	 karma bitch #damn #godprotectshisangels # sip tea 	1
335	 fuckin hot gym pussi fuck yeah	1
336	 jihadi patron hajjaj al ajmi arrest kuwait airport 	2
337	 call fireman caus turn hoe 	1
338	 could never bbi lil dick tht got abort last bitch oh god	1
339	 watch women tri argu like dick actual fuck pussi hate bitch	1
340	 smoke weed public fuck cop man wanna run come retard 	1
341	 tweeti bird tho # # # # 	2
342	 pussi sweet like watermelon thotermelo	1
343	 twitter rapper dm trash link 	2
344	 loud bitch annoy 	1
345	 eventu everi bitch turn hoe # truuu	1
346	 swear oomf tri talk tomorrow pussi	1
347	 bitch pretend tf crazi never lie 	1
348	 k bye hoe um bye 	1
349	 jacki retard #blondeproblems least make grill chees 	0
350	 ima keep give pussi ass nigga ah reason hate 	1
351	 photo sole heav	2
352	 stacey dash # baddest bitch evaaaa	0
353	 side bitch sunday # # # # # # 	1
354	 fact baldhead bitch made shit # # # # lmao # # 	1
355	 fuck wit us tweakin hoe shmurda 	1
356	 actin like th day # spoo	2
357	 break lil bitch neck even feel sorri savag	1
358	 fuck hot #scally #sneakersex #sockfetish #sniff #trainersex love kinki scalli	1
359	 dumb ass nigga press hoe weak fuck fuck weed hoe oreo 	1
360	 turn yo bitch eaterrrrrrrrr 	1
361	 trust dese hoe nikki told st stay fan screen shot asap finna come chiraq shoot sum	1
362	 # aye yall ima tryout bowl team frfr # tryout pass tho there two retard	1
363	 u got u want bitch enjoy crazi parti would love attend 	1
364	 color contact eye blinder mine caus see lmao	2
365	 fact dude hoe say got hoe # 	1
366	 rea start smack bitch period bluffin best	1
367	 life bitch die that get high caus neva know gonna go sister perfect 	1
368	 one us drug still wrong # hahahahahahah im bitch sometim 	1
369	 feel pretti fuckin ghetto smh	1
370	 tolif swear # man easili easili behind austin nip 	2
371	 true ride die bitch # fuck hahahahah	1
372	 h g well charli chaplin #history #photography	2
373	 see bruno bitch ass twitter wtf bruno see drake voic 	1
374	 cool faggot chill tf cool nigga	1
375	 sure bitch frfr tf	1
376	 twitter sourc news broadcast fuck retard nbc abc cnn fox etc keep quiet 	1
377	 got coupl bitch say know # let money talk # # like #wwyd	1
378	 grudg weirdo bitch	1
379	 told mariam cigarett birthday also call trash r	2
380	 edham browni tonight kind 	2
381	 text back give fuck text anoth bitch damn someon hurt lo	1
382	 ummmmmm okay got hoe left right # # yah thang 	1
383	 use mx b find slope ass 	1
384	 fit lad nice gear scalli lad n trainer would get	2
385	 hell yeah bro fuck yeah sexi scalli lad hot gear	1
386	 help mate love scalli play fuck yeah	1
387	 lad lad fuck yeah love scalli lad action hot trainer 	1
388	 next year bitch gonna like gotta promis expos # # # 	1
389	 # hot lick bitch fuck yeah eat trainer u dirti fucker	1
390	 # think celebr pussi differ local # # yeah meghan good 	1
391	 saw ajumma walk begin say wow trash even listen # lmaoo	2
392	 need sox fuck yeah love kinki scalli lad w rank sox sneak	1
393	 ever expos femal like childish bitch nigga shiiii 	1
394	 sexilexi yasss tri new thing bestfriend bitch love 	1
395	 dude rememb wop video sexilexi omg find	2
396	 thick raw fuck damn man pussi get workout 	1
397	 rawr sexi french scalli love #frenchscally sexi scalli woof woof	2
398	 nothin life free bitch need write ya panti # # 	1
399	 one bitch want burrito u catch potosino huh haha	1
400	 nigga whole hoe cuz said better # 	1
401	 hardcor way eat mac chees  boil water  snort chees powder  drink boil water  fuck bitch 	1
402	 #yourenotmytype fade perpetu fresher real ass bitch rite	1
403	 annoy bitch love judyann pretti 	1
404	 lmao bitch got huggi	1
405	 hi bitch bitch bye bitch 	1
406	 look like bitch 	1
407	 chase money # # hoe # # # # # # # 	1
408	 stand know want ass nigga # bitch 	1
409	 way love #chav hot sexi scalli fucker 	1
410	 newli gay bitch kno shit work 	1
411	 bitch want real job becom stripper lol lol 	1
412	 awww meat meat feelin ainn n feel bitch	1
413	 want snake bite industri piercin amp tattoo dem hoe accessori dea # # # # 	1
414	 babi albino # 	2
415	 hoe loyal 	1
416	 yassssss order chines # bitch ate taco fat fuc	1
417	 made bitch lunch bitch love lunch 	1
418	 brainer soon bitch get rich polit power view chang polit whore 	1
419	 pussi day keep devil away 	1
420	 bitch mean 	1
421	 bitch want babi want children 	1
422	 bitch must lost # # 	1
423	 babi like left side bitch cuz street side twitter said real	1
424	 bae sound like ghetto word use someth els	2
425	 batter wee cunt jewi co fuck ex emma isnt batter girl nail ive move stop pussi n urself 	1
426	 bleed hoe alexa	1
427	 boolin bando wit bitch 	1
428	 browni browni love movi # 	2
429	 need bad bitch hotter might realist shit partynextdoor ever said feelin everyday	1
430	 way punch bitch 	1
431	 caesar home # much bitch look like let start ape shit # # # 	1
432	 chines maverick commun comrad u know give imperialist yank birdi 	2
433	 dad say hi snapchat dad # # # # duce bitch # # # # 	1
434	 believ hoe fact loyal disagre believ fact loyalest bunch hoe 	1
435	 know ugli bitch know broke nigga 	1
436	 make make fall live nigga like meee bird  amp  favorit song weeknd	1
437	 worri nigga see worri nigga see dat da nigga fuckin yo bitch 	0
438	 ever give pussi away keep tight alright 	1
439	 drop stack caus bitch poloboy song call dope download mixtap 	1
440	 dumb bitch dumb thing 	1
441	 eat pussi like real nigga hungri 	1
442	 eff let go crippl 	1
443	 everyth look better bitch next 	1
444	 facto care hoe ass look like 	1
445	 everi bad bitch nigga tire fuck 	1
446	 foreign chick lie man bitch beauti 	1
447	 fresh nigga kno need clean bitch kno work cuz wanna see team rich 	1
448	 fuck   make rule suck dragon ball bitch call goku 	1
449	 gener ascii box nodej see abil bring flappi bird node via ascii tube bird 	2
450	 get shit bitch fine bear 	1
451	 get ass back detroit ya fuckin wigger 	1
452	 girl date okay mad yo unless stab heart love hoe 	1
453	 know twitter password bitch pleas	1
454	 seen show seen hoe hot would thick 	1
455	 bitch hit hoe # # # # # # # # # 	1
456	 marri white woman lucki sum bitch uncl rucku	1
457	 wanna nigga trinna save account # # # # # omg imma funni ass bitch man real shit # 	1
458	 great grandma hoe grandma hoe mom hoe hoe long line hoe grandpa carl everyon	1
459	 hey go look video man found kidnap girl ohio nigger #shitmybosssays	0
460	 hey pussi still 	1
461	 draft gung ho folk send afghanistan war zone show 	2
462	 hotter bitch 	1
463	 u talk hoe bout bro n em talk hoe bout bro n em 	1
464	 crazi bitch hilari 	1
465	 know shoe dirti fuck whatev bitch call like negro one first thing look shoe dog	1
466	 thrill billi hillbilli heart hahahahaha jesu murphi 	2
467	 call bitch 	1
468	 handl liquor bitch handl meeedd chief sosa	1
469	 chase dude chase bitch edgar bautista	1
470	 love hoe babi forev 	1
471	 dont even need pictur tamar bitch beat everi pictur # # # # # 	1
472	 dont hoe # 	1
473	 found new way chug open mouth alot #shitallysays	2
474	 fuck hate bitch much wanna smack face tongu kiss 	1
475	 got bitch set like jada picket queen latifah ride round niec bitch titi 	1
476	 got sister told stop call women bitch 	1
477	 guess night bitch die stewi nigga 	1
478	 bitch bitch bitch eat halibut #freshrhymes #jerksquad #slowstir	1
479	 ladi love marri still wanna bang sex bitch troubadour probabl	1
480	 heard look candi man bitch 	1
481	 hope get mad ladi call bitch bitch bc know name individu katt william 	1
482	 got number  bitch boy 	1
483	 know shit eatin grin either fuck girl dream sold car know faggot sell # 	1
484	 older men caus matur suppos fool us bitch 	1
485	 prolli leav bitch cup hand yo hand hand 	1
486	 said like tast like wolf pussi even know tast like 	1
487	 taught eat pussi cut hair taught eat pussi hair # name movi # 	1
488	 use dress like cop oh realli yeah right   mad pussi realli ye never forget 	1
489	 went jail flock amp came home wit strike went jail bitch came home dike 	1
490	 fuck u u stand u dizzi bitch two uniqu amp separ phrase overheard rel say younger 	1
491	 woke like thi bitch go back bed	1
492	 would rather call bitch sir manag	1
493	 beat pussi hard 	1
494	 slit throat neck 	2
495	 funki ass honkey shout tonight cabaret # #jttour	1
496	 compar kfc pussi 	1
497	 download new person order new face bitch love goddamn axl rose yell sex robot	1
498	 feelin like malcolm middl bitch surround miss em 	1
499	 gonna piss dimpl stop wast prayer trash team lol 	1
500	 probabl main bitch chocol dip cinnamon appl 	1
501	 sick shit man sit bitch ass fed bro rt sbabylif geno threw yet anoth pick smh 	1
502	 sorri fuck yo bitch realli dig nigga 	1
503	 ib irrit bitch syndrom 	1
504	 love hide yo bitch keep shorti 	1
505	 talk back get pussi 	1
506	 bad bitch put hand high everi girl room start wave hand around 	1
507	 imma tie bitch basement donkey fuck ass two week straight hahahahahahahahaha #centmovie #beforeiselfdestruct	1
508	 mind gotta dumb hoe anthem 	1
509	 albino mexican dad asian 	2
510	 take true direction accept larri know bitch fan like make boy cri #thankyoupaulforconfirminglarry	1
511	 alleg u bedroom u see word naiv amp blind bitch know ur husband cheat u ramona dumb 	1
512	 never late tag bitch 	1
513	 dyke hunter dyke dyke 	1
514	 julia robert ho #nottingh	1
515	 follow yellow brick twitter 	2
516	 lmfaoooooooooooooooooo pussi good mama # like guess gotta go # # # mama 	1
517	 lol crippl wendi davi scientist creat remot control chick studi shi penguin 	2
518	 let nip ahoy spank mayb 	1
519	 let kill cracker babi wtf hear wow 	0
520	 like correct wrong pimpin involv smackin bitch money 	1
521	 lmao # # rt sbabylif pound cake look like pussi # 	1
522	 lmao rose adida lighter phone shit retard 	1
523	 mam ren # e doet haar rol net ze ongesteld wat ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit 	2
524	 mayb want friend mayb stupid bitch never know make cum # # # 	1
525	 mine play dmx kirk franklin smh justcallmebrit well neighbor ghetto get like beat kid 	2
526	 grandma use call porch monkey time come think refer broken bottl nigger knife # 	0
527	 momma told tell mind yoooo damn motha fuckin busi   knowin bitch 	1
528	 nip freeeeez okay slice bra # 	1
529	 twitter hack pussi admit said want act like never said 	1
530	 nah girl gon abl make tight sinc russ loss job back like damn bitch realli 	1
531	 nah # # # # yo thought photoshop face faggot smmfh hate yall 	0
532	 new flame song yr lol bitch super run like	1
533	 nigga alway yell fuck bitch get money meanwhil broke still want bitch # 	1
534	 nigga press pussi eeeeeen nothin 	1
535	 bitch na	1
536	 boat hoe pleas thank mom	1
537	 ovo # amp kendrick lamar still trash # 	2
538	 top pregnant ass sorri hoe aint never got money even water broke #riptallt	1
539	 coupl red sox gotten past first base die laugh mayb yank need teach game 	2
540	 peopl time aryan race  stand say mongerl turn world ghetto slum 	0
541	 pistol whip dickau shoot yo bitch club sometim freestyl freestyl okay 	1
542	 rt pleas thank pierc pussi come across timelin # 	1
543	 remi machiavelli send shot ya belli # bitch # 	1
544	 roberto one nasti hoe 	1
545	 sorri jb fan # realli justin come back top comment justin timberlak video  million view son fuck bitch 	1
546	 search incred stori  white man quest find ingredi necessari make caribbean jerk chicken redneck land	1
547	 sell soul materi wish fast car bitch #tupac #smile #remix	1
548	 shake bear aka two redneck sex dead bear 	1
549	 shall compar thee summer # day summer # day bitch 	1
550	 gotta shape pussi lip tho whole wheat organ pussi 	1
551	 said wigga man rich take du rag 	1
552	 bitch anyway 	1
553	 florida got sniff test swamp pussi # # # # # # # # # # # # # # # # # # # # # # 	1
554	 slow fuck bitch know live classi young ladi 	1
555	 good footbal player still act like nig 	1
556	 stop pussi son shove needl heart #afterearth	1
557	 stop look us go eat pussi yuppi fuck 	1
558	 takin straight dirt finger pussi know put dick 	1
559	 bro move hoe move 	1
560	 girl plain look borderlin ugli amp chunki hey least got nice smile amp great person 	1
561	 devil grow insid heart selfish wick white brown yellow black color restrict 	2
562	 water yellow healthi student 	2
563	 hoe loyal 	1
564	 hoe keep callin pickin # # 	1
